Type,Name,SKU,Description,KGs,Selling Price - Old,Decor,Storage,Outdoor,Beds,Lighting,Tables,Chairs,Sofas,Selling Price - New,Discounted
White Linen,,,,,,,,,,,,,,,
Wheat Gray Cashmere Wool,,,,,,,,,,,,,,,
Wing,"Wegner Wing Ottoman, Wheat Gray Cashmere Wool",4765,"The Wegner Wing Ottoman is an ideal match for the Wegner Wing Lounge Chair, blending style and coziness seamlessly. Its elegant, minimalist design showcases high-quality upholstery that mirrors the chair's, along with a gently curved surface that promises ultimate comfort. The chrome-finished legs bring a modern flair to the piece. Crafted with both practicality and visual charm in mind, the ottoman features stabilizing feet to ensure it remains sturdy. Its clean lines and refined appearance make it a versatile addition that beautifully complements the mid-century modern charm of the Wegner Wing Lounge Chair, offering a harmonious and welcoming lounging experience.",7,749.00,,,,,,,478.00,,478.00,239.00
Wing,"Wegner Wing Ottoman, Black Premium Leather",4764,"The Wegner Wing Ottoman is an ideal match for the Wegner Wing Lounge Chair, blending style and coziness seamlessly. Its elegant, minimalist design showcases high-quality upholstery that mirrors the chair's, along with a gently curved surface that promises ultimate comfort. The chrome-finished legs bring a modern flair to the piece. Crafted with both practicality and visual charm in mind, the ottoman features stabilizing feet to ensure it remains sturdy. Its clean lines and refined appearance make it a versatile addition that beautifully complements the mid-century modern charm of the Wegner Wing Lounge Chair, offering a harmonious and welcoming lounging experience.",7,832.00,,,,,,,678.00,,678.00,339.00
Wing,"Wegner Wing, Wheat Gray Cashmere Wool",4767,"The Wegner Wing Lounge Chair is a beautiful blend of mid-century modern aesthetics and supreme comfort, perfect for any living space that appreciates timeless design. This high-backed armchair features sleek lines and a gracefully sloped backrest that offers ideal support for lounging and relaxing. Its elegant chrome-finished legs, complete with stabilizing feet, provide a touch of sophistication, while the intricate stitchwork on the backrest invites you to sit back and rest your head comfortably. Choose from two minimalist color options to match your décor, and delight in the additional relaxation brought to you by the matching ottoman. Constructed with long-lasting upholstery and a solid build, the Wegner Wing Lounge Chair from 4orm4 is a versatile piece that effortlessly combines style and function for any modern living area.",25,2665.00,,,,,,,1458.00,,1458.00,729.00
Wing,"Wegner Wing, Black Premium Leather",4766,"The Wegner Wing Lounge Chair is a beautiful blend of mid-century modern aesthetics and supreme comfort, perfect for any living space that appreciates timeless design. This high-backed armchair features sleek lines and a gracefully sloped backrest that offers ideal support for lounging and relaxing. Its elegant chrome-finished legs, complete with stabilizing feet, provide a touch of sophistication, while the intricate stitchwork on the backrest invites you to sit back and rest your head comfortably. Choose from two minimalist color options to match your décor, and delight in the additional relaxation brought to you by the matching ottoman. Constructed with long-lasting upholstery and a solid build, the Wegner Wing Lounge Chair from 4orm4 is a versatile piece that effortlessly combines style and function for any modern living area.",25,3665.00,,,,,,,2778.00,,2778.00,1389.00
Shell,"Wegner Shell Lounge Chair, Deep Black Vegan Leather and Walnut",4647,"Taking inspiration from the iconic styles of the early 1960s, the Wegner Shell Chair offers a playful yet sophisticated seating option that marries form and function seamlessly. Designed with graceful curves that promise both aesthetic appeal and comfort, it's a perfect centerpiece for homes or businesses with a keen eye for style. With its stylish homage to '60s design principles, this chair infuses a delightful retro charm alongside modern elegance, transforming any room into a warm and visually captivating space.",21,1415.00,,,,,,,818.00,,818.00,409.00
Shell,"Wegner Shell Lounge Chair, Deep Black Vegan Leather and Oak",4648,"Taking inspiration from the iconic styles of the early 1960s, the Wegner Shell Chair offers a playful yet sophisticated seating option that marries form and function seamlessly. Designed with graceful curves that promise both aesthetic appeal and comfort, it's a perfect centerpiece for homes or businesses with a keen eye for style. With its stylish homage to '60s design principles, this chair infuses a delightful retro charm alongside modern elegance, transforming any room into a warm and visually captivating space.",21,1415.00,,,,,,,818.00,,818.00,409.00
Shell,"Wegner Shell Lounge Chair, Black and Black Premium Leather",1016,"Inspired by the innovative design of the early 1960s, the Wegner Shell Chair is a delightful seating option that brilliantly combines style and practicality. Crafted with a sleek curvature that enhances both its aesthetic appeal and comfort, this chair is perfect for those who appreciate design with character. It's a striking statement piece for any home or business that values style. With its charming nod to retro design elements mixed with modern elegance, this chair effortlessly adds a warm and inviting ambiance to any space it occupies.",21,1499.00,,,,,,,818.00,,818.00,409.00
Wegner,"Wegner Rocking Chair, Ash",1195,"Drawing inspiration from 1980s design, the Wegner Rocking Chair effortlessly combines comfort and ergonomics, which are always a priority. With its charmingly stylish design, this chair invites you to relax and embrace a laid-back vibe while sitting in the utmost style.",20,2499.00,,,,,,,3138.00,,3138.00,1569.00
